Time [s],Packet ID,MOSI,MISO
2.591468200000000,0,0x2A,0xFF
2.591481560000000,0,0xCC,0xFF
2.591495920000000,0,0xCC,0xFF
2.591510240000000,0,0xCC,0xFF
2.591524600000000,0,0xCC,0xFF
2.591538960000000,0,0xCC,0xFF
2.591555520000000,1,0x30,0xFF
2.591568880000000,1,0xCC,0xFF
2.591583240000000,1,0xCC,0xFF
2.591597560000000,1,0xCC,0xFF
2.591611920000000,1,0xCC,0xFF
2.591626280000000,1,0xCC,0xFF
2.591645320000000,2,0x3F,0xFF
2.591658680000000,2,0x0A,0xFF
2.591673000000000,2,0x6D,0xFF
2.591687360000000,2,0x67,0xFF
2.591701720000000,2,0x9C,0xFF
2.591716040000000,2,0x46,0xFF
2.591734120000000,3,0x3E,0xFF
2.591747480000000,3,0xF6,0xFF
2.591761840000000,3,0x33,0xFF
2.591776160000000,3,0x5D,0xFF
2.591795720000000,4,0x3A,0xFF
2.591809080000000,4,0x45,0xFF
2.591823440000000,4,0x21,0xFF
2.591837760000000,4,0xEF,0xFF
2.591852120000000,4,0x2C,0xFF
2.591866440000000,4,0x5A,0xFF
2.591880800000000,4,0x50,0xFF
2.591897640000000,5,0x39,0xFF
2.591911000000000,5,0x01,0xFF
2.591929040000000,6,0x3B,0xFF
2.591942400000000,6,0x0B,0xFF
2.591956760000000,6,0xDF,0xFF
2.591971080000000,6,0x02,0xFF
2.591988920000000,7,0xE1,0xFF
2.592002000000000,7,0x00,0xFF
2.592019080000000,8,0xE2,0xFF
2.592032200000000,8,0x00,0xFF
2.592049280000000,9,0x27,0xFF
2.592062400000000,9,0x70,0xFF
2.592079480000000,10,0x21,0xFF
2.592092600000000,10,0x00,0xFF
2.592109640000000,11,0x22,0xFF
2.592122760000000,11,0x01,0xFF
2.592139840000000,12,0x23,0xFF
2.592152960000000,12,0x03,0xFF
2.592170040000000,13,0x25,0xFF
2.592183120000000,13,0x02,0xFF
2.592200200000000,14,0x24,0xFF
2.592213320000000,14,0x00,0xFF
2.592230400000000,15,0x31,0xFF
2.592243520000000,15,0x0B,0xFF
2.592260600000000,16,0x26,0xFF
2.592273680000000,16,0x3E,0xFF
2.592290760000000,17,0x50,0xFF
2.592303880000000,17,0x73,0xFF
2.592320960000000,18,0x3C,0xFF
2.592334080000000,18,0x00,0xFF
2.592351120000000,19,0x3D,0xFF
2.592364240000000,19,0x00,0xFF
2.592381320000000,20,0x39,0xFF
2.592394440000000,20,0x01,0xFF
2.692831240000000,21,0x10,0xFF
2.692843320000000,21,0x00,0xCC
2.692868840000000,22,0x20,0xFF
2.692881920000000,22,0x8E,0xFF
2.796310920000000,23,0x20,0xFF
2.796324080000000,23,0x8E,0xFF
2.796339200000000,24,0xE1,0xFF
2.796354320000000,25,0xE2,0xFF
2.796369920000000,26,0x27,0xFF
2.796383040000000,26,0x70,0xFF
2.796398680000000,27,0x25,0xFF
2.796411800000000,27,0x02,0xFF
2.796430120000000,28,0xA0,0xFF
2.796443520000000,28,0xAA,0xFF
2.796457880000000,28,0xD7,0xFF
2.796472240000000,28,0x4A,0xFF
2.796486640000000,28,0x98,0xFF
2.796501000000000,28,0x64,0xFF
2.796515360000000,28,0xE8,0xFF
2.796529720000000,28,0x03,0xFF
2.796544120000000,28,0xDC,0xFF
2.796558480000000,28,0x05,0xFF
2.796572840000000,28,0x00,0xFF
2.796587240000000,28,0x00,0xFF
2.799289640000000,29,0x20,0xFF
2.799302800000000,29,0x8E,0xFF
2.799317960000000,30,0xE1,0xFF
2.799333080000000,31,0xE2,0xFF
2.799348720000000,32,0x27,0xFF
2.799361840000000,32,0x70,0xFF
2.799377480000000,33,0x25,0xFF
2.799390640000000,33,0x02,0xFF
2.799409040000000,34,0xA0,0xFF
2.799422440000000,34,0xAA,0xFF
2.799436800000000,34,0xD7,0xFF
2.799451200000000,34,0x4A,0xFF
2.799465600000000,34,0x98,0xFF
2.799480000000000,34,0x64,0xFF
2.799494400000000,34,0xDC,0xFF
2.799508760000000,34,0x05,0xFF
2.799523160000000,34,0xDC,0xFF
2.799537560000000,34,0x05,0xFF
2.799551960000000,34,0x00,0xFF
2.799566360000000,34,0x00,0xFF
2.802268520000000,35,0x20,0xFF
2.802281680000000,35,0x8E,0xFF
2.802296800000000,36,0xE1,0xFF
2.802311960000000,37,0xE2,0xFF
2.802327560000000,38,0x27,0xFF
2.802340720000000,38,0x70,0xFF
2.802356360000000,39,0x25,0xFF
2.802369520000000,39,0x02,0xFF
2.802387880000000,40,0xA0,0xFF
2.802401280000000,40,0xAA,0xFF
2.802415680000000,40,0xD7,0xFF
2.802430080000000,40,0x4A,0xFF
2.802444480000000,40,0x98,0xFF
2.802458840000000,40,0x64,0xFF
2.802473240000000,40,0xDC,0xFF
2.802487640000000,40,0x05,0xFF
2.802502040000000,40,0xDC,0xFF
2.802516400000000,40,0x05,0xFF
2.802530800000000,40,0x00,0xFF
2.802545200000000,40,0x00,0xFF
2.805247280000000,41,0x20,0xFF
2.805260440000000,41,0x8E,0xFF
2.805275600000000,42,0xE1,0xFF
2.805290720000000,43,0xE2,0xFF
2.805306360000000,44,0x27,0xFF
2.805319480000000,44,0x70,0xFF
2.805335120000000,45,0x25,0xFF
2.805348280000000,45,0x02,0xFF
2.805366640000000,46,0xA0,0xFF
2.805380040000000,46,0xAA,0xFF
2.805394440000000,46,0xD7,0xFF
2.805408840000000,46,0x4A,0xFF
2.805423240000000,46,0x98,0xFF
2.805437600000000,46,0x64,0xFF
2.805452000000000,46,0xDC,0xFF
