Time [s],Packet ID,MOSI,MISO
16.764750159999998,33423,0x25,0xFF
16.764763280000000,33423,0x49,0xFF
16.764779640000000,33424,0xA0,0xFF
16.764793000000001,33424,0x55,0xFF
16.764807359999999,33424,0xDC,0xFF
16.764821720000000,33424,0x05,0xFF
16.764836079999998,33424,0xDC,0xFF
16.764850440000000,33424,0x05,0xFF
16.764864840000001,33424,0xDC,0xFF
16.764879199999999,33424,0x05,0xFF
16.764893560000001,33424,0xDC,0xFF
16.764907919999999,33424,0x05,0xFF
16.764922280000000,33424,0x60,0xFF
16.764936639999998,33424,0x00,0xFF
16.767637560000001,33425,0x00,0xFF
16.767650719999999,33425,0x8E,0xFF
16.767665800000000,33426,0xE1,0xFF
16.767680920000000,33427,0xE2,0xFF
16.767696520000001,33428,0x27,0xFF
16.767709640000000,33428,0x70,0xFF
16.767725240000001,33429,0x25,0xFF
16.767738399999999,33429,0x4B,0xFF
16.767754759999999,33430,0xA0,0xFF
16.767768119999999,33430,0x55,0xFF
16.767782480000001,33430,0xDC,0xFF
16.767796839999999,33430,0x05,0xFF
16.767811200000001,33430,0xDC,0xFF
16.767825559999999,33430,0x05,0xFF
16.767839960000000,33430,0xDC,0xFF
16.767854280000002,33430,0x05,0xFF
16.767868679999999,33430,0xDC,0xFF
16.767883040000001,33430,0x05,0xFF
16.767897399999999,33430,0x60,0xFF
16.767911760000000,33430,0x00,0xFF
16.770612520000000,33431,0x20,0xFF
16.770625639999999,33431,0x8E,0xFF
16.770640759999999,33432,0xE1,0xFF
16.770655880000000,33433,0xE2,0xFF
16.770671480000001,33434,0x27,0xFF
16.770684599999999,33434,0x70,0xFF
16.770700200000000,33435,0x25,0xFF
16.770713319999999,33435,0x4D,0xFF
16.770729679999999,33436,0xA0,0xFF
16.770743039999999,33436,0x55,0xFF
16.770757440000001,33436,0xDC,0xFF
16.770771759999999,33436,0x05,0xFF
16.770786160000000,33436,0xDC,0xFF
16.770800520000002,33436,0x05,0xFF
16.770814880000000,33436,0xDC,0xFF
16.770829240000001,33436,0x05,0xFF
16.770843599999999,33436,0xDC,0xFF
16.770857960000001,33436,0x05,0xFF
16.770872319999999,33436,0x60,0xFF
16.770886680000000,33436,0x00,0xFF
16.773587480000000,33437,0x20,0xFF
16.773600600000002,33437,0x8E,0xFF
16.773615719999999,33438,0xE1,0xFF
